insertion,0,32,25,100,0
insertion,0,104,87,316,0
insertion,0,108,91,328,0
insertion,0,116,99,352,0
insertion,59,24838963,24828966,74516893,0
selection,113,49995000,0,100029648,0
selection,38,9508499,0,19020998,0
selection,0,17,0,38,0
selection,0,35,0,86,0
selection,0,90,0,204,0
selection,0,45,0,118,0
selection,0,45,0,114,0
selection,0,45,0,114,0
